synset,label,idx
n02119789,"kit fox, Vulpes macrotis
",278
n02100735,"English setter
",212
n02110185,"Siberian husky
",250
n02096294,"Australian terrier
",193
n02102040,"English springer, English springer spaniel
",217
n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
",147
n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
",387
n02124075,"Egyptian cat
",285
n02417914,"ibex, Capra ibex
",350
n02123394,"Persian cat
",283
n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
",286
n02423022,"gazelle
",353
n02346627,"porcupine, hedgehog
",334
n02077923,"sea lion
",150
n02110063,"malamute, malemute, Alaskan malamute
",249
n02447366,"badger
",362
n02109047,"Great Dane
",246
n02089867,"Walker hound, Walker foxhound
",166
n02102177,"Welsh springer spaniel
",218
n02091134,"whippet
",172
n02092002,"Scottish deerhound, deerhound
",177
n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca
",148
n02442845,"mink
",357
n02504458,"African elephant, Loxodonta africana
",386
n02092339,"Weimaraner
",178
n02098105,"soft-coated wheaten terrier
",202
n02096437,"Dandie Dinmont, Dandie Dinmont terrier
",194
n02114712,"red wolf, maned wolf, Canis rufus, Canis niger
",271
n02105641,"Old English sheepdog, bobtail
",229
n02128925,"jaguar, panther, Panthera onca, Felis onca
",290
n02091635,"otterhound, otter hound
",175
n02088466,"bloodhound, sleuthhound
",163
n02096051,"Airedale, Airedale terrier
",191
n02117135,"hyena, hyaena
",276
n02138441,"meerkat, mierkat
",299
n02097130,"giant schnauzer
",197
n02493509,"titi, titi monkey
",380
n02457408,"three-toed sloth, ai, Bradypus tridactylus
",364
n02389026,"sorrel
",339
n02443484,"black-footed ferret, ferret, Mustela nigripes
",359
n02110341,"dalmatian, coach dog, carriage dog
",251
n02089078,"black-and-tan coonhound
",165
n02086910,"papillon
",157
n02445715,"skunk, polecat, wood pussy
",361
n02093256,"Staffordshire bullterrier, Staffordshire bull terrier
",179
n02113978,"Mexican hairless
",268
n02106382,"Bouvier des Flandres, Bouviers des Flandres
",233
n02441942,"weasel
",356
n02113712,"miniature poodle
",266
n02113186,"Cardigan, Cardigan Welsh corgi
",264
n02105162,"malinois
",225
n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
",349
n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger
",335
n02488702,"colobus, colobus monkey
",375
n02123159,"tiger cat
",282
n02098413,"Lhasa, Lhasa apso
",204
n02422699,"impala, Aepyceros melampus
",352
n02114855,"coyote, prairie wolf, brush wolf, Canis latrans
",272
n02094433,"Yorkshire terrier
",187
n02111277,"Newfoundland, Newfoundland dog
",256
n02132136,"brown bear, bruin, Ursus arctos
",294
n02119022,"red fox, Vulpes vulpes
",277
n02091467,"Norwegian elkhound, elkhound
",174
n02106550,"Rottweiler
",234
n02422106,"hartebeest
",351
n02091831,"Saluki, gazelle hound
",176
n02120505,"grey fox, gray fox, Urocyon cinereoargenteus
",280
n02104365,"schipperke
",223
n02086079,"Pekinese, Pekingese, Peke
",154
n02112706,"Brabancon griffon
",262
n02098286,"West Highland white terrier
",203
n02095889,"Sealyham terrier, Sealyham
",190
n02484975,"guenon, guenon monkey
",370
n02137549,"mongoose
",298
n02500267,"indri, indris, Indri indri, Indri brevicaudatus
",384
n02129604,"tiger, Panthera tigris
",292
n02090721,"Irish wolfhound
",170
n02396427,"wild boar, boar, Sus scrofa
",342
n02108000,"EntleBucher
",241
n02391049,"zebra
",340
n02412080,"ram, tup
",348
n02108915,"French bulldog
",245
n02480495,"orangutan, orang, orangutang, Pongo pygmaeus
",365
n02110806,"basenji
",253
n02128385,"leopard, Panthera pardus
",288
n02107683,"Bernese mountain dog
",239
n02085936,"Maltese dog, Maltese terrier, Maltese
",153
n02094114,"Norfolk terrier
",185
n02087046,"toy terrier
",158
n02100583,"vizsla, Hungarian pointer
",211
n02096177,"cairn, cairn terrier
",192
n02494079,"squirrel monkey, Saimiri sciureus
",382
n02105056,"groenendael
",224
n02101556,"clumber, clumber spaniel
",216
n02123597,"Siamese cat, Siamese
",284
n02481823,"chimpanzee, chimp, Pan troglodytes
",367
n02105505,"komondor
",228
n02088094,"Afghan hound, Afghan
",160
n02085782,"Japanese spaniel
",152
n02489166,"proboscis monkey, Nasalis larvatus
",376
n02364673,"guinea pig, Cavia cobaya
",338
n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum
",270
n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
",296
n02480855,"gorilla, Gorilla gorilla
",366
n02090622,"borzoi, Russian wolfhound
",169
n02113624,"toy poodle
",265
n02093859,"Kerry blue terrier
",183
n02403003,"ox
",345
n02097298,"Scotch terrier, Scottish terrier, Scottie
",199
n02108551,"Tibetan mastiff
",244
n02493793,"spider monkey, Ateles geoffroyi
",381
n02107142,"Doberman, Doberman pinscher
",236
n02096585,"Boston bull, Boston terrier
",195
n02107574,"Greater Swiss Mountain dog
",238
n02107908,"Appenzeller
",240
n02086240,"Shih-Tzu
",155
n02102973,"Irish water spaniel
",221
n02112018,"Pomeranian
",259
n02093647,"Bedlington terrier
",181
n02397096,"warthog
",343
n02437312,"Arabian camel, dromedary, Camelus dromedarius
",354
n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus
",369
n02097047,"miniature schnauzer
",196
n02106030,"collie
",231
n02099601,"golden retriever
",207
n02093991,"Irish terrier
",184
n02110627,"affenpinscher, monkey pinscher, monkey dog
",252
n02106166,"Border collie
",232
n02326432,"hare
",331
n02108089,"boxer
",242
n02097658,"silky terrier, Sydney silky
",201
n02088364,"beagle
",162
n02111129,"Leonberg
",255
n02100236,"German short-haired pointer
",210
n02486261,"patas, hussar monkey, Erythrocebus patas
",371
